Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
d171d808-1f31-4ad3-aba5-e03a2fa921c7,4/3/1983,,999-83-6585,S99914532,X18544570X,Mr.,Marco Antonio298,Hurtado459,,,M,hispanic,mexican,M,La Paz  Baja California  MX,552 Rippin Port,Revere,Massachusetts,Suffolk County,2151,42.49384662,-70.92858467,748893.99,2679.68
3603cd65-53a3-424b-bc82-76204326510d,6/24/1977,,999-62-4132,S99987902,X33240404X,Mr.,Guillermo498,Trantow673,,,M,white,irish,M,Southbridge  Massachusetts  US,1027 Satterfield Spur Unit 67,Richmond,Massachusetts,Berkshire County,,42.39013552,-73.32437333,870371.41,5316
bd512b17-9e68-4b0e-8c5b-980007ecdee1,10/21/1991,,999-65-7753,S99933589,X60093276X,Mr.,Hernán834,Ojeda263,,,M,black,dominican,M,Marigot  Saint Andrew Parish  DM,257 Bradtke Mill Unit 35,Newton,Massachusetts,Middlesex County,2458,42.41993944,-71.12810792,607565.78,2855.62
21dd496c-2fec-4c9c-a0fe-c11ad5b2cdea,12/17/2006,,999-72-6694,,,,Francisco472,Prosacco716,,,,white,portuguese,M,Funchal  Madeira  PT,729 Nienow Gateway,Townsend,Massachusetts,Middlesex County,1469,42.69866369,-71.61492026,323891.14,2919.84
ab3533aa-8230-4608-9f06-4f4673123620,10/14/1977,,999-85-1774,S99964476,X82206403X,Mrs.,Elizabet136,Marks830,,Morissette863,M,white,french_canadian,F,Haverhill  Massachusetts  US,243 Bartoletti Neck Suite 63,Sturbridge,Massachusetts,Worcester County,1507,42.11021867,-72.04969001,870544.88,7831.98
57c9b98b-35a2-4360-9a20-9958eaaeee7c,7/7/2009,,999-76-4196,,,,Essie785,Schultz619,,,,white,irish,F,Norfolk  Massachusetts  US,915 Jakubowski Meadow,West Newbury,Massachusetts,Essex County,,42.82265072,-70.93215003,246650,3095.64
1b37ae9f-f895-4f71-91b8-22bad1ed333a,3/31/1961,,999-98-8986,S99951669,X80073375X,Mr.,Miles206,Gutkowski940,,,M,white,irish,M,Yarmouth  Massachusetts  US,515 Ritchie Ville Suite 19,North Adams,Massachusetts,Berkshire County,1247,42.72719215,-73.02758645,179455.93,6734
2e80ccff-35b3-47b7-b19f-bce12b7e260e,5/1/2003,,999-25-1773,S99945946,,,Brigitte394,Jaskolski867,,,,black,african,F,Burlington  Massachusetts  US,500 Cremin Well Apt 31,Chelsea,Massachusetts,Suffolk County,2149,42.51227242,-70.979651,52616.36,14691.02
5bff9560-f815-4e21-a72d-84e40413bace,11/2/2018,,999-61-9847,,,,Ozzie259,Cummings51,,,,white,irish,M,Georgetown  Massachusetts  US,972 Hilpert Spur Unit 37,Falmouth,Massachusetts,Barnstable County,2540,41.68635249,-70.59485822,24200,645.8
c9b5fda8-649e-47f4-b394-786e15a0a9b7,5/8/2004,,999-32-2576,,,,Myron933,Waelchi213,,,,white,french_canadian,M,Russell  Massachusetts  US,703 Schoen Extension,Townsend,Massachusetts,Middlesex County,1469,42.66680006,-71.63656461,352575.82,2717.32
